Username,Password,FirstName,LastName,,,,,,,
user1,pass1,Danite,Kelor,,,,,,,
user2,pass2,Dodra,Kiney,,,,,,,
user3,pass3,Peran,Bishop,,,,,,,
user4,pass4,Randy,Roran,,,,,,,
user5,pass5,Ashod,Iankel,,,,,,,
user6,pass6,Cany,Achant,,,,,,,
admin1,opensesame,Riley,Fuiss,,,,,,,
admin2,opensesayou,Tonnis,Kinser,,,,,,,
,,,,,,,,,,
AdminUser,Position,,,,,,,,,
admin1,Technical Support,,,,,,,,,
admin2,Chief Techy,,,,,,,,,
,,,,,,,,,,
CategoryName,,,,,,,,,,
Art,,,,,,,,,,
Books,,,,,,,,,,
Electronics,,,,,,,,,,
Home & Garden,,,,,,,,,,
Sporting Goods,,,,,,,,,,
Toys,,,,,,,,,,
Other,,,,,,,,,,
,,,,,,,,,,
ItemID,ListingUser,ItemName,Description,Condition,StartingBid,MinSalePrice,GetItNowPrice,AuctionEndDate,Returns?,CategoryName
1,user1,Garmin GPS,This is a great GPS.,3,50.00,70.00,99.00,3/31/18 12:22,FALSE,Electronics
2,user1,Canon Powershot,Point and shoot!,2,40.00,60.00,80.00,4/1/18 14:14,FALSE,Electronics
3,user2,Nikon D3,New and in box!,4,"1,500.00","1,800.00","2,000.00",4/5/18 9:19,FALSE,Electronics
4,user3,Danish Art Book,Delicious Danish Art,3,10.00,10.00,15.00,4/5/18 15:33,TRUE,Art
5,admin1,SQL in 10 Minutes,Learn SQL really fast!,1,5.00,10.00,12.00,4/5/18 16:48,FALSE,Books
6,admin2,SQL in 8 Minutes,Learn SQL even faster!,2,5.00,8.00,10.00,4/8/18 10:01,FALSE,Books
7,user6,Pull-up Bar,Works on any door frame.,4,20.00,25.00,40.00,4/9/18 22:09,TRUE,Sporting Goods
,,,,,,,,,,
BidderUsername,ItemID,DateAndTime,Amount,GetItNow?,Winner?,,,,,
user4,1,3/30/18 14:53,50.00,FALSE,FALSE,,,,,
user5,1,3/30/18 16:45,55.00,FALSE,FALSE,,,,,
user4,1,3/30/18 19:28,75.00,FALSE,FALSE,,,,,
user5,1,3/31/18 10:00,85.00,FALSE,TRUE,,,,,
user6,2,4/1/18 13:55,80.00,TRUE,TRUE,,,,,
user1,3,4/4/18 8:37,"1,500.00",FALSE,FALSE,,,,,
user3,3,4/4/18 9:15,"1,501.00",FALSE,FALSE,,,,,
user1,3,4/4/18 12:27,"1,795.00",FALSE,FALSE,,,,,
user4,7,4/8/18 20:20,20.00,FALSE,FALSE,,,,,
user2,7,4/9/18 21:15,25.00,FALSE,TRUE,,,,,
,,,,,,,,,,
RaterUsername,ItemID,DateAndTime,Comment,NumOfStars,,,,,,
user2,1,3/30/18 17:00,Great GPS!,5,,,,,,
user3,1,3/30/18 18:00,Not so great GPS!,2,,,,,,
user4,1,3/30/18 19:00,A favorite of mine.,4,,,,,,
user1,4,4/1/18 16:46,Go for the Italian stuff instead.,1,,,,,,
admin1,6,4/6/18 23:56,Not recommended.,1,,,,,,
user1,6,4/7/18 13:32,This book is okay.,3,,,,,,
user2,6,4/7/18 14:44,I learned SQL in 8 minutes!,5,,,,,,
